Date,"Total employed, all industries 7",Goods-producing sector 8,Agriculture 9,"Forestry, fishing, mining, quarrying, oil and gas 10 11",Utilities,Construction,Manufacturing,Services-producing sector 12,Wholesale and retail trade,Transportation and warehousing,"Finance, insurance, real estate, rental and leasing","Professional, scientific and technical services","Business, building and other support services 13",Educational services,Health care and social assistance,"Information, culture and recreation",Accommodation and food services,Other services (except public administration),Public administration
Jan-00,"14,652.70","3,827.20",395.6,270.5,116.3,801.1,"2,243.70","10,825.50","2,247.60",770.4,852.9,925.7,513.4,988.6,"1,485.00",636.7,937.6,693.1,774.4
Feb-00,"14,672.20","3,818.70",396.9,274.5,117.1,806.4,"2,223.80","10,853.50","2,276.90",775.8,853.3,906.8,508.6,982.5,"1,498.20",639.8,949.5,695.2,766.8
Mar-00,"14,697.50","3,817.20",393.6,271.7,115.5,807.3,"2,229.10","10,880.40","2,286.10",774.9,858.1,907.6,519.2,984.9,"1,507.40",645.8,943.6,683.3,769.5
Apr-00,"14,722.70","3,830.40",379.5,280.5,114.9,812.3,"2,243.30","10,892.30","2,285.30",777.2,845.2,916.8,527.7,972.4,"1,521.80",646.7,946.1,679.5,773.5
May-00,"14,736.40","3,829.20",378.7,275.9,116.8,805,"2,252.80","10,907.20","2,287.40",777.3,845.6,922.7,526.9,967.5,"1,534.30",654.5,954.6,677.7,758.9
Jun-00,"14,746.80","3,808.80",374.1,277.2,113.7,801.9,"2,241.90","10,938.00","2,287.70",774.3,857.3,917,539.9,974.1,"1,521.80",664.3,954.5,681.4,765.7
Jul-00,"14,750.40","3,786.20",367.8,273.2,114.6,810.1,"2,220.50","10,964.20","2,298.30",768.2,859.3,940.3,537.2,975.6,"1,510.40",664,942.2,691.9,776.9
Aug-00,"14,770.30","3,785.80",367.8,270.4,113,804.4,"2,230.20","10,984.60","2,324.60",766.1,854.4,937.2,538.6,961.2,"1,521.60",671.8,925,699.3,784.8
Sep-00,"14,812.20","3,799.60",361.6,272.7,115.3,815.4,"2,234.70","11,012.60","2,329.50",763.6,851.5,948.8,545.1,963.6,"1,528.90",681.6,940.4,676.7,783
Oct-00,"14,835.30","3,796.60",355.8,274.7,116.4,799.1,"2,250.60","11,038.70","2,319.30",773.8,867.3,965.5,545,957.7,"1,531.90",681,933.5,683.1,780.6
Nov-00,"14,871.40","3,814.10",348.2,276.7,118.1,811.5,"2,259.70","11,057.30","2,310.80",786,877.4,976.1,538.4,968.2,"1,524.00",692.5,931.2,667.5,785.2
Dec-00,"14,920.00","3,828.60",347.9,271,118,811,"2,280.70","11,091.40","2,341.20",784.6,876,980.4,532.1,950.3,"1,531.90",703.1,942.2,669.2,780.4
Jan-01,"14,894.40","3,811.30",341.7,271.2,121.3,809.9,"2,267.20","11,083.10","2,371.40",784.6,870.4,984.6,509.8,946.9,"1,536.00",699.2,940.6,663,776.7
Feb-01,"14,883.90","3,792.80",336,271,124.1,823.3,"2,238.30","11,091.10","2,340.10",781.5,881.8,993.6,528.2,966,"1,536.40",692.6,935.5,661.7,773.7
Mar-01,"14,888.70","3,797.40",331.1,274,118.9,827.8,"2,245.80","11,091.30","2,318.60",787.5,865.6,"1,006.20",520.1,967.6,"1,543.50",712.2,940.7,661.2,768.2
Apr-01,"14,922.30","3,800.10",332.5,270,120.4,833.4,"2,243.90","11,122.10","2,323.10",778.7,877.6,"1,016.20",520.7,974.7,"1,542.60",708.2,938.2,659.1,783
May-01,"14,946.20","3,783.90",323.9,278.7,120.9,829.3,"2,231.20","11,162.30","2,345.90",787.9,888.3,994.4,523.5,972,"1,539.40",719.4,940.7,659,791.9
Jun-01,"14,922.50","3,770.50",323.8,276.2,125.1,831.3,"2,214.10","11,152.00","2,354.70",784.5,881,"1,001.30",523.3,970.5,"1,537.30",705.2,942.5,661.1,790.7
Jul-01,"14,946.30","3,770.70",326.3,278.9,124.5,819.3,"2,221.60","11,175.60","2,376.30",783,875,976.7,534.5,990.3,"1,532.80",708.9,967.9,655.7,774.5
Aug-01,"14,948.50","3,758.60",318.2,286.6,125.7,813.5,"2,214.60","11,189.90","2,360.40",795.2,871.7,972.2,539.4,974.2,"1,555.80",711.2,960.9,657.3,791.6
Sep-01,"14,972.80","3,763.60",316.3,283.8,121.6,822.2,"2,219.70","11,209.10","2,371.10",782.6,881.4,979,547.6,976.3,"1,558.50",700.1,944.6,679.6,788.3
Oct-01,"14,976.90","3,750.40",313.1,280.5,122.4,821.7,"2,212.70","11,226.50","2,380.70",775.8,878.6,976.3,545.8,986.8,"1,551.80",710.2,970.3,660.1,790.1
Nov-01,"14,990.30","3,716.10",315.4,277.9,124.2,813.8,"2,184.70","11,274.20","2,410.40",758.7,881.6,984.2,554.6,981.1,"1,566.30",708,963.1,674.2,791.9
Dec-01,"14,965.60","3,713.30",303.9,273.4,125.8,821,"2,189.20","11,252.30","2,389.70",757.3,878.5,972.2,550,979.7,"1,568.80",704.8,971.5,677.7,802.3
Jan-02,"15,019.40","3,743.50",304.5,271.9,126.5,835.5,"2,205.10","11,275.90","2,370.60",739.2,888.3,979.3,552,999.9,"1,573.00",708.1,989.6,675.7,800.5
Feb-02,"15,042.30","3,777.20",301.7,269.5,124.9,842.8,"2,238.30","11,265.20","2,372.00",749.3,877.7,976.1,549.3,982.3,"1,571.60",723.4,983.3,676.7,803.3
Mar-02,"15,120.50","3,813.20",311.4,271.7,127.5,838.5,"2,264.10","11,307.40","2,392.80",740,884.9,969,573.3,985.2,"1,576.20",714.9,979.3,681.4,810.5
Apr-02,"15,167.80","3,815.70",310.1,276.8,131.2,842.4,"2,255.20","11,352.00","2,396.90",750.8,888.8,965.3,573.6,997.2,"1,591.60",730.5,982.4,683.7,791.1
May-02,"15,222.20","3,847.90",314.7,266,136.4,863,"2,267.80","11,374.30","2,408.70",751,887.8,976.8,573.3,994.7,"1,597.30",708.9,985.2,696.4,794.3
Jun-02,"15,284.30","3,882.80",318.6,266.9,132,867.1,"2,298.20","11,401.50","2,393.20",752.6,905.2,980.6,586.7,997.6,"1,607.50",718.1,986,688,786.1
Jul-02,"15,324.20","3,900.80",326.4,268.6,133.6,867.8,"2,304.40","11,423.40","2,392.30",763.2,905.8,985.8,581.8,997.1,"1,628.50",724,977.9,683.6,783.4
Aug-02,"15,406.90","3,924.10",326.3,265.6,132.6,873.3,"2,326.30","11,482.80","2,404.70",755,905.5,993.4,592.9,"1,021.00","1,633.90",729.1,981.3,683.4,782.7
Sep-02,"15,405.20","3,935.20",336.7,263,135.1,872.8,"2,327.50","11,470.10","2,400.90",773.4,898,"1,006.80",587.7,"1,014.60","1,633.00",702.2,985.1,681.2,787.2
Oct-02,"15,419.10","3,932.50",341.8,262.2,130.2,883.6,"2,314.70","11,486.60","2,407.50",762.9,899.6,"1,003.90",597.5,999.5,"1,640.70",697.6,986.5,694.1,796.8
Nov-02,"15,467.20","3,947.50",341,266.8,131.8,873,"2,334.90","11,519.70","2,410.70",774.4,905.6,999.2,603.2,"1,001.50","1,652.30",697.4,991.1,689.1,795.2
Dec-02,"15,524.70","3,949.50",340.5,268.3,129.8,883.7,"2,327.10","11,575.20","2,428.10",772,903.9,"1,009.90",605.9,"1,014.50","1,650.00",697.7,992.2,702.9,798.2
Jan-03,"15,544.20","3,941.20",341.1,274.3,128.1,886.5,"2,311.10","11,603.00","2,438.10",778.9,900.2,993.2,608.1,"1,020.50","1,658.00",701.5,988.3,707.8,808.5
Feb-03,"15,601.60","3,948.50",341.3,271.9,129.3,888.5,"2,317.60","11,653.00","2,441.70",777.5,910.5,999.1,618.5,"1,026.30","1,667.00",693.1,"1,002.80",702,814.5
Mar-03,"15,609.70","3,919.00",331.3,279.2,130.7,900.1,"2,277.80","11,690.70","2,443.80",784.3,906.1,"1,004.10",610.5,"1,030.30","1,660.90",700.5,"1,022.00",713.8,814.4
Apr-03,"15,593.20","3,908.10",329.5,275.7,132.2,890.4,"2,280.30","11,685.10","2,459.30",784.9,922.9,"1,000.60",611.3,"1,018.00","1,656.60",702.6,"1,001.30",706.1,821.6
May-03,"15,574.80","3,904.10",329.3,274,129.1,892.8,"2,279.00","11,670.70","2,442.80",780,903.2,"1,002.90",612.5,"1,026.40","1,672.70",721.7,"1,000.40",700.9,807
Jun-03,"15,627.10","3,902.90",326.6,276.5,130.4,903.7,"2,265.60","11,724.20","2,465.40",783,908.1,"1,009.00",601.4,"1,024.40","1,681.10",720.7,998.3,715.3,817.6
Jul-03,"15,648.40","3,930.00",323.7,280.4,129.6,915.5,"2,280.80","11,718.40","2,456.00",780.1,914,"1,010.70",599.8,"1,020.70","1,679.50",715.5,"1,003.10",713.6,825.5
Aug-03,"15,638.90","3,921.30",328.5,275,128.4,926.4,"2,262.90","11,717.60","2,471.50",784.3,910,"1,006.70",595.4,"1,014.90","1,672.20",711.9,"1,008.90",716.5,825.3
Sep-03,"15,674.70","3,912.60",321.8,281.3,130.1,926.6,"2,252.70","11,762.20","2,474.50",783.9,927.7,"1,006.20",594.8,"1,021.60","1,677.90",725.5,"1,008.10",711.7,830.3
Oct-03,"15,729.50","3,915.00",324.5,286,133.4,918.5,"2,252.70","11,814.50","2,493.10",798.9,920.1,"1,002.20",606.9,"1,037.80","1,686.30",732.7,995.6,707.4,833.3
Nov-03,"15,778.50","3,943.10",332.1,281,134.9,924.9,"2,270.20","11,835.40","2,497.70",797.8,917.2,"1,005.30",605.6,"1,033.80","1,691.00",733.5,"1,001.40",715.1,837
Dec-03,"15,821.10","3,946.20",332.8,282.4,131.4,929.9,"2,269.70","11,874.90","2,490.30",808.3,921.9,990.8,633.2,"1,038.40","1,717.60",733.6,992.9,721.2,826.7
Jan-04,"15,819.70","3,943.90",331.8,279.2,135.2,920.9,"2,276.80","11,875.70","2,494.50",812.3,929.5,"1,001.30",629.2,"1,038.50","1,721.60",737.6,985.6,699.5,826.1
Feb-04,"15,826.90","3,959.50",325.9,283.2,131.8,922.8,"2,295.90","11,867.40","2,491.40",806.6,924.8,"1,011.90",625.3,"1,041.40","1,704.00",733.9,"1,002.70",693.5,831.9
Mar-04,"15,836.30","3,979.10",328.4,281.8,136.6,928.4,"2,303.90","11,857.20","2,493.40",809.1,927.1,"1,012.20",619.7,"1,028.60","1,717.00",724.8,"1,011.20",687.9,826.3
Apr-04,"15,882.70","3,994.20",328.9,280.6,136.1,932.7,"2,315.90","11,888.50","2,478.40",812.4,941,"1,013.60",626.2,"1,024.10","1,733.80",723.3,"1,016.40",697.3,822.1
May-04,"15,900.90","4,000.40",324.9,283.3,135.3,943.9,"2,312.90","11,900.60","2,478.20",811.6,942.4,"1,013.40",618.5,"1,043.40","1,730.80",722.3,"1,010.00",703.3,826.6
Jun-04,"15,923.90","4,000.60",325.5,282.4,134.8,952.8,"2,305.20","11,923.30","2,487.90",815.7,941.3,"1,003.70",627.2,"1,052.20","1,721.40",731.2,"1,009.10",702.4,831.2
Jul-04,"15,937.60","4,010.20",318.1,285,134,962.1,"2,311.00","11,927.40","2,495.50",816.1,948.3,"1,022.10",631.9,"1,029.00","1,710.80",731.4,"1,008.30",702.5,831.6
Aug-04,"15,945.40","4,009.80",314.3,288.1,133,967.8,"2,306.70","11,935.60","2,500.80",805.7,965,"1,019.70",626.2,993.2,"1,713.70",757.2,"1,003.10",718.6,832.3
Sep-04,"15,978.90","3,997.10",315.2,288.9,130.8,961.6,"2,300.60","11,981.80","2,525.70",803.1,973.7,"1,007.70",635.4,"1,022.10","1,734.90",739.6,"1,005.80",697.9,835.9
Oct-04,"15,989.60","4,016.90",315.7,286.5,129.1,984.7,"2,300.90","11,972.60","2,522.80",796.5,963.7,"1,017.60",633.6,"1,028.30","1,727.50",735.5,"1,015.20",696.2,835.7
Nov-04,"16,008.30","4,000.00",318.9,294.7,125.4,985.6,"2,275.40","12,008.30","2,535.50",792.4,979.7,"1,022.00",625.3,"1,045.90","1,733.60",736.4,999.6,699.5,838.5
Dec-04,"16,022.80","4,010.90",320.3,300.4,124.8,998.2,"2,267.30","12,011.90","2,527.00",785.2,979.6,"1,025.40",626,"1,053.00","1,731.90",727.5,"1,020.00",697.8,838.6
Jan-05,"16,034.00","4,025.90",316.9,296.9,122.4,"1,002.50","2,287.00","12,008.10","2,557.10",784,978.6,"1,022.60",626.7,"1,051.30","1,713.70",716.3,"1,023.20",702.9,831.6
Feb-05,"16,047.10","3,991.30",323.7,303.4,120.6,987.5,"2,256.00","12,055.80","2,557.20",788.1,984.1,"1,029.20",638,"1,072.70","1,722.70",729.6,"1,006.10",696.5,831.6
Mar-05,"16,046.50","4,006.40",332.5,298.8,124.7,995.2,"2,255.20","12,040.00","2,560.40",773.5,993.5,"1,020.00",637.3,"1,080.40","1,727.60",734,988.8,688.1,836.5
Apr-05,"16,072.30","4,007.30",334.6,305,125.2,"1,015.80","2,226.70","12,065.00","2,531.80",786.2,985.1,"1,040.40",634.4,"1,104.30","1,708.40",723.9,997.2,697,856.2
May-05,"16,076.70","3,980.10",346,309.7,121.5,995.6,"2,207.30","12,096.60","2,562.10",813.4,994.2,"1,036.80",657.8,"1,092.10","1,704.80",717.4,988,689.3,840.7
Jun-05,"16,101.80","4,031.30",349.3,313.1,126.5,"1,030.10","2,212.30","12,070.50","2,559.40",791.9,977.4,"1,043.30",651,"1,095.60","1,711.30",715.2,994.9,693.1,837.6
Jul-05,"16,142.20","3,983.40",362.5,311.7,121.6,992.2,"2,195.40","12,158.80","2,581.10",800.1,986.6,"1,031.60",653.9,"1,120.00","1,732.90",727.1,996.9,696.9,831.6
Aug-05,"16,186.60","4,022.40",354.5,319.5,124.7,"1,039.30","2,184.30","12,164.30","2,576.80",810,990.9,"1,043.50",667.3,"1,107.80","1,734.40",712,993.4,684.5,843.8
Sep-05,"16,172.20","3,999.70",343.9,316.7,124.6,"1,046.00","2,168.50","12,172.50","2,564.20",810.1,967.4,"1,044.30",659.9,"1,116.10","1,742.10",731.9,988.6,705.6,842.3
Oct-05,"16,211.70","3,991.60",349.4,321.2,122.5,"1,042.20","2,156.30","12,220.20","2,588.90",806.4,982.5,"1,065.00",657,"1,121.90","1,752.30",728.9,"1,001.70",693,822.6
Nov-05,"16,241.20","3,994.50",343.3,311.6,120,"1,062.60","2,157.10","12,246.70","2,593.40",808.5,970.6,"1,057.90",664.6,"1,135.20","1,734.10",737.8,"1,022.60",697.3,824.6
Dec-05,"16,232.30","3,990.70",346.6,315.3,127,"1,056.10","2,145.70","12,241.60","2,602.40",791,992.1,"1,078.20",655.1,"1,141.80","1,713.20",745.4,"1,019.20",668.3,834.9
Jan-06,"16,261.00","3,932.30",343.2,318.5,122.3,"1,067.20","2,081.10","12,328.70","2,611.10",807.2,986.4,"1,085.50",687.9,"1,133.60","1,716.50",745.6,"1,018.50",692.4,844.1
Feb-06,"16,292.20","4,002.40",352.6,320.9,120.7,"1,085.80","2,122.40","12,289.80","2,623.70",806.2,986.4,"1,078.10",667.8,"1,130.00","1,726.50",744.3,"1,002.30",704.8,819.8
Mar-06,"16,347.30","4,013.80",350.1,330.2,116.3,"1,097.40","2,119.70","12,333.50","2,620.50",809.7,997.4,"1,080.80",680.1,"1,136.70","1,727.30",744.6,"1,007.20",707.4,821.8
Apr-06,"16,383.50","4,020.30",354.8,331.2,118.7,"1,093.40","2,122.20","12,363.20","2,652.30",806.1,995.4,"1,066.50",692.4,"1,134.60","1,729.90",756.5,"1,000.30",712.8,816.4
May-06,"16,450.40","4,012.40",345.3,334.7,119.9,"1,107.30","2,105.20","12,438.00","2,645.50",803.2,"1,028.90","1,073.70",686.2,"1,147.30","1,740.40",754.6,"1,017.20",708.3,832.8
Jun-06,"16,432.50","3,977.00",337.8,341.6,117.4,"1,088.90","2,091.40","12,455.50","2,642.10",808.7,"1,028.40","1,068.60",690.9,"1,141.20","1,762.90",744.3,"1,029.10",702.6,836.7
Jul-06,"16,440.40","3,959.70",339.4,347,117.5,"1,088.80","2,066.90","12,480.80","2,628.10",797.6,"1,017.60","1,070.90",695,"1,204.40","1,765.30",738.1,"1,028.10",694.1,841.7
Aug-06,"16,435.60","3,959.20",342.7,341.7,116.5,"1,090.30","2,068.10","12,476.40","2,632.30",806.9,"1,013.00","1,082.20",694.7,"1,161.50","1,768.90",746.3,"1,041.00",691.7,837.8
Sep-06,"16,468.00","3,987.80",341.4,347.2,114.7,"1,107.80","2,076.70","12,480.20","2,656.30",803.2,"1,011.30","1,088.70",701.6,"1,145.60","1,764.10",738.1,"1,047.10",692.6,831.8
Oct-06,"16,487.50","3,982.20",330.5,346.7,117.1,"1,112.70","2,075.30","12,505.30","2,643.90",806.3,"1,023.20","1,076.40",709.6,"1,160.10","1,766.50",735.3,"1,053.70",692.7,837.5
Nov-06,"16,487.50","3,995.40",335.3,347,118.2,"1,116.40","2,078.40","12,492.10","2,641.10",803.1,"1,021.50","1,083.80",713.8,"1,156.90","1,767.00",732.8,"1,052.50",680.7,839.1
Dec-06,"16,549.60","4,015.70",339.6,344.3,118.4,"1,135.50","2,077.90","12,533.90","2,633.90",810,"1,022.20","1,086.70",724.7,"1,162.90","1,780.60",733.6,"1,048.80",696.5,834.1
Jan-07,"16,615.00","4,018.30",341.6,350.1,119.2,"1,145.90","2,061.60","12,596.70","2,640.00",816.9,"1,022.20","1,092.00",710.6,"1,163.90","1,790.80",746.2,"1,069.00",698.1,847.1
Feb-07,"16,636.40","3,997.10",330.1,349,119.6,"1,151.40","2,047.10","12,639.30","2,648.10",829,"1,021.70","1,097.10",719.1,"1,163.80","1,792.90",744.9,"1,078.70",694.7,849.3
Mar-07,"16,664.80","3,962.30",325.2,344.3,120.3,"1,146.20","2,026.40","12,702.40","2,664.10",829.5,"1,034.70","1,108.60",705.7,"1,168.20","1,811.10",745.3,"1,084.40",704.6,846.2
Apr-07,"16,658.60","3,961.80",326.6,348.6,119.1,"1,154.90","2,012.70","12,696.70","2,661.50",831,"1,033.00","1,111.90",702.8,"1,161.00","1,820.10",738,"1,087.20",700.6,849.7
May-07,"16,682.10","3,967.30",321.7,346.6,121.4,"1,162.20","2,015.40","12,714.90","2,669.80",840.3,"1,031.60","1,130.20",705.1,"1,157.50","1,816.90",740.1,"1,082.90",697.6,842.8
Jun-07,"16,728.20","3,969.60",325.3,341.4,125.2,"1,162.10","2,015.60","12,758.60","2,665.20",849,"1,027.20","1,134.00",718.9,"1,167.40","1,811.90",743.7,"1,082.20",707.7,851.5
Jul-07,"16,796.20","3,999.70",328.6,339.1,131.2,"1,172.50","2,028.30","12,796.50","2,684.30",858.1,"1,034.70","1,142.40",728.7,"1,129.90","1,823.10",743.5,"1,095.60",701.8,854.5
Aug-07,"16,817.50","3,992.00",328.4,344.3,132.4,"1,165.20","2,021.60","12,825.50","2,678.50",848.7,"1,037.20","1,142.10",738.1,"1,167.20","1,829.40",734.1,"1,092.70",701.6,855.9
Sep-07,"16,836.20","3,964.50",332.2,341.6,131.4,"1,160.70","1,998.70","12,871.70","2,667.70",863.8,"1,050.20","1,145.10",733,"1,176.20","1,839.40",742.6,"1,083.40",706.2,864.1
Oct-07,"16,883.70","3,964.10",332,342.9,131.1,"1,168.30","1,989.80","12,919.60","2,671.50",860.4,"1,048.40","1,155.10",737.2,"1,158.20","1,849.90",749,"1,083.80",719,887.2
Nov-07,"16,904.80","3,962.90",333,341.8,134,"1,179.00","1,975.00","12,942.00","2,678.70",881,"1,050.10","1,148.40",741.8,"1,160.20","1,855.50",742.3,"1,084.90",724.2,874.9
Dec-07,"16,907.10","3,943.30",323.2,344.6,135.9,"1,189.40","1,950.20","12,963.70","2,689.70",879.7,"1,059.80","1,139.90",752.2,"1,159.80","1,863.90",742.7,"1,076.80",718.9,880.3
Jan-08,"16,932.20","3,971.90",332.1,341.5,139.1,"1,208.70","1,950.60","12,960.30","2,662.70",890,"1,066.20","1,166.00",741.7,"1,165.80","1,861.00",736.1,"1,063.70",728.1,878.9
Feb-08,"16,967.50","3,965.10",327,341.7,141.1,"1,223.60","1,931.80","13,002.50","2,692.10",882.6,"1,076.20","1,176.70",729.1,"1,161.90","1,858.80",743.1,"1,064.60",730.2,887.1
Mar-08,"16,972.10","3,972.80",326.6,343.3,138.7,"1,232.10","1,932.00","12,999.30","2,689.70",887.7,"1,070.40","1,170.70",737.1,"1,153.30","1,857.30",740.8,"1,079.20",722,891
Apr-08,"16,971.80","3,985.40",322.6,340.3,139.6,"1,250.00","1,932.90","12,986.40","2,682.30",875.9,"1,072.80","1,180.00",726.4,"1,154.80","1,864.10",730.2,"1,088.40",720.9,890.6
May-08,"16,986.80","4,008.20",327.7,341.7,140.8,"1,250.10","1,947.90","12,978.60","2,665.90",869.5,"1,073.30","1,173.20",707.7,"1,146.50","1,890.30",727.2,"1,095.80",734,895.2
Jun-08,"16,996.20","4,004.80",327.6,341.8,139.3,"1,251.40","1,944.70","12,991.50","2,688.10",858.7,"1,077.10","1,190.60",702.2,"1,149.00","1,892.90",722.6,"1,087.50",728.8,893.9
Jul-08,"16,980.90","3,986.70",324.8,338.7,143.7,"1,258.70","1,920.80","12,994.30","2,679.00",868.6,"1,083.50","1,193.50",693.5,"1,149.50","1,891.80",722.9,"1,079.40",737,895.6
